Time,Host,File Size,Protocol,Speed (MB/s)
2025-08-20 12:06:01,USA,10MB_file,rsync_hop,6.36
2025-08-20 12:06:12,USA,10MB_file,rsync_ssh_reno,1.24
2025-08-20 12:09:11,USA,1GB_file,rsync_hop,6.45
2025-08-20 12:10:56,USA,1GB_file,rsync_ssh_reno,10.25
2025-08-20 12:11:53,Europe,100MB_file,rsync_hop,2.95
2025-08-20 12:12:55,Europe,100MB_file,rsync_ssh_reno,1.76
2025-08-20 12:13:21,Europe,10MB_file,rsync_hop,3.25
2025-08-20 12:13:44,Europe,10MB_file,rsync_ssh_reno,1.31
2025-08-20 12:22:24,Europe,1GB_file,rsync_ssh_reno,4.84
2025-08-20 12:23:15,Asia,100MB_file,rsync_hop,3.78
2025-08-20 12:24:32,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 12:24:58,Asia,10MB_file,rsync_hop,4.66
2025-08-20 12:25:26,Asia,10MB_file,rsync_ssh_reno,1.87
2025-08-20 12:30:05,Asia,1GB_file,rsync_hop,4.02
2025-08-20 12:35:08,Asia,1GB_file,rsync_ssh_reno,3.47
2025-08-20 12:35:50,USA,100MB_file,rsync_hop,5.11
2025-08-20 12:36:20,USA,100MB_file,rsync_ssh_reno,3.77
2025-08-20 12:36:42,USA,10MB_file,rsync_hop,6.55
2025-08-20 12:36:53,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-20 12:39:51,USA,1GB_file,rsync_hop,6.47
2025-08-20 12:41:27,USA,1GB_file,rsync_ssh_reno,11.22
2025-08-20 12:42:07,Europe,100MB_file,rsync_hop,6.23
2025-08-20 12:43:14,Europe,100MB_file,rsync_ssh_reno,1.62
2025-08-20 12:43:43,Europe,10MB_file,rsync_hop,1.78
2025-08-20 12:44:05,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 12:53:52,Europe,1GB_file,rsync_ssh_reno,3.68
2025-08-20 12:55:05,Asia,100MB_file,rsync_hop,2.06
2025-08-20 12:56:23,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 12:56:49,Asia,10MB_file,rsync_hop,4.05
2025-08-20 12:57:17,Asia,10MB_file,rsync_ssh_reno,1.85
2025-08-20 13:01:19,Asia,1GB_file,rsync_hop,4.71
2025-08-20 13:05:47,Asia,1GB_file,rsync_ssh_reno,3.92
2025-08-20 13:06:35,USA,100MB_file,rsync_hop,4.01
2025-08-20 13:07:05,USA,100MB_file,rsync_ssh_reno,3.78
2025-08-20 13:07:30,USA,10MB_file,rsync_hop,2.19
2025-08-20 13:07:42,USA,10MB_file,rsync_ssh_reno,1.24
2025-08-20 13:10:43,USA,1GB_file,rsync_hop,6.34
2025-08-20 13:12:31,USA,1GB_file,rsync_ssh_reno,9.88
2025-08-20 13:13:39,Europe,100MB_file,rsync_hop,2.25
2025-08-20 13:14:40,Europe,100MB_file,rsync_ssh_reno,1.84
2025-08-20 13:15:09,Europe,10MB_file,rsync_hop,1.53
2025-08-20 13:15:31,Europe,10MB_file,rsync_ssh_reno,1.38
2025-08-20 13:25:11,Europe,1GB_file,rsync_ssh_reno,3.77
2025-08-20 13:26:01,Asia,100MB_file,rsync_hop,4.09
2025-08-20 13:27:18,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 13:27:47,Asia,10MB_file,rsync_hop,2.31
2025-08-20 13:28:15,Asia,10MB_file,rsync_ssh_reno,1.85
2025-08-20 13:32:44,Asia,1GB_file,rsync_hop,4.18
2025-08-20 13:43:18,USA,100MB_file,rsync_ssh_reno,3.77
2025-08-20 13:48:31,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-20 13:55:24,USA,1GB_file,rsync_ssh_reno,9.53
2025-08-20 14:01:32,Europe,100MB_file,rsync_ssh_reno,1.73
2025-08-20 14:06:58,Europe,10MB_file,rsync_ssh_reno,1.35
2025-08-20 14:15:39,Europe,1GB_file,rsync_ssh_reno,4.8
2025-08-20 14:22:00,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 14:27:32,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 14:43:08,USA,100MB_file,rsync_ssh_reno,3.77
2025-08-20 14:48:21,USA,10MB_file,rsync_ssh_reno,1.27
2025-08-20 14:55:06,USA,1GB_file,rsync_ssh_reno,10.28
2025-08-20 15:01:10,Europe,100MB_file,rsync_ssh_reno,1.84
2025-08-20 15:06:37,Europe,10MB_file,rsync_ssh_reno,1.35
2025-08-20 15:15:13,Europe,1GB_file,rsync_ssh_reno,4.93
2025-08-20 15:21:35,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 15:27:08,Asia,10MB_file,rsync_ssh_reno,1.87
2025-08-20 15:42:48,USA,100MB_file,rsync_ssh_reno,3.31
2025-08-20 15:48:01,USA,10MB_file,rsync_ssh_reno,1.27
2025-08-20 15:55:14,USA,1GB_file,rsync_ssh_reno,8.05
2025-08-20 16:01:20,Europe,100MB_file,rsync_ssh_reno,1.75
2025-08-20 16:06:46,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 16:16:03,Europe,1GB_file,rsync_ssh_reno,4.12
2025-08-20 16:22:25,Asia,100MB_file,rsync_ssh_reno,1.41
2025-08-20 16:27:57,Asia,10MB_file,rsync_ssh_reno,1.85
2025-08-20 16:37:08,Asia,1GB_file,rsync_ssh_reno,4.24
2025-08-20 16:42:42,USA,100MB_file,rsync_ssh_reno,3.79
2025-08-20 16:47:55,USA,10MB_file,rsync_ssh_reno,1.25
2025-08-20 16:54:43,USA,1GB_file,rsync_ssh_reno,10.03
2025-08-20 17:00:48,Europe,100MB_file,rsync_ssh_reno,1.78
2025-08-20 17:06:14,Europe,10MB_file,rsync_ssh_reno,1.34
2025-08-20 17:15:35,Europe,1GB_file,rsync_ssh_reno,4.06
2025-08-20 17:21:56,Asia,100MB_file,rsync_ssh_reno,1.41
2025-08-20 17:27:27,Asia,10MB_file,rsync_ssh_reno,1.86
2025-08-20 17:43:03,USA,100MB_file,rsync_ssh_reno,3.78
2025-08-20 17:48:17,USA,10MB_file,rsync_ssh_reno,1.26
2025-08-20 17:55:26,USA,1GB_file,rsync_ssh_reno,8.25
2025-08-20 18:01:30,Europe,100MB_file,rsync_ssh_reno,1.82
2025-08-20 18:06:56,Europe,10MB_file,rsync_ssh_reno,1.37
2025-08-20 18:15:46,Europe,1GB_file,rsync_ssh_reno,4.61
2025-08-20 18:22:07,Asia,100MB_file,rsync_ssh_reno,1.42
2025-08-20 18:25:49,USA,100MB_file,rsync_hop,4.28
2025-08-20 18:26:19,USA,100MB_file,rsync_ssh_reno,3.79
2025-08-20 18:26:44,USA,10MB_file,rsync_hop,2.39
2025-08-20 18:26:55,USA,10MB_file,rsync_ssh_reno,1.28
2025-08-20 18:30:17,USA,1GB_file,rsync_hop,5.62
2025-08-20 18:31:50,USA,1GB_file,rsync_ssh_reno,11.58
2025-08-20 18:32:48,Europe,100MB_file,rsync_hop,2.9
2025-08-20 18:34:07,Europe,100MB_file,rsync_ssh_reno,1.36
2025-08-20 18:34:48,Europe,10MB_file,rsync_hop,1.05
2025-08-20 18:35:10,Europe,10MB_file,rsync_ssh_reno,1.38
2025-08-20 18:41:58,USA,100MB_file,rsync_hop,5.75
